ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1109538	21487	NA	16	0.0	no	0	1	0	0	0	0	0	0
k121_851201	14181	NA	20	0.0	no	0	0	1	0	0	0	0	0
k121_1179421	6982	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1179290	6896	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_422026	6092	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_136035	5978	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_290157	5748	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_468584	5607	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1090851	5386	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_100851	4933	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1016963	4701	NA	8	0.2	yes	0	0	1	0	0	0	0	0
k121_674693	4674	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1179749	4107	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1179355	3511	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_448091	3461	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_109084	3372	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_115076	3298	NA	5	0.0	no	0	1	0	0	0	0	0	0
k121_15609	3225	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_455308	3190	NA	5	0.0	no	0	1	0	0	0	0	0	0
k121_256502	2994	NA	2	0.1	no	0	0	0	0	0	0	0	1
k121_829053	2870	NA	2	0.6	no	0	0	0	0	0	0	0	1
k121_854425	2848	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1157486	2833	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1181543	2646	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_603150	2507	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_516119	2437	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_802905	2398	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_253096	2242	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1042765	2197	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1180516	2195	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_868482	2149	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_947987	2134	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_228330	2051	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1151159	1940	NA	2	-0.1	yes	0	0	0	0	0	0	0	0
