ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1085318	96988	NA	116	0.0	yes	0	0	0	0	0	0	0	0
k121_654786	62092	NA	81	0.0	yes	0	0	0	0	0	0	0	0
k121_3815	56881	NA	81	0.0	yes	0	0	0	0	0	0	0	0
k121_1085310	52982	NA	93	0.0	yes	0	0	0	0	0	0	0	0
k121_1085302	45688	NA	77	0.0	yes	0	0	0	0	0	0	0	0
k121_604472	42349	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_462163	41433	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_393118	39397	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_1085343	38255	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_292666	34782	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_1085453	34523	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_1085347	33854	NA	46	0.0	yes	0	0	0	0	0	0	0	0
k121_253981	33716	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_653628	33494	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_687188	31380	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_573968	17870	NA	30	0.0	yes	0	0	0	0	0	0	0	0
k121_1085611	15679	NA	23	0.0	yes	0	0	0	0	0	0	0	0
k121_85763	14041	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_813000	13904	NA	14	-0.1	no	0	1	0	0	0	0	0	0
k121_897585	12910	NA	12	0.0	yes	0	0	0	0	0	0	2	0
k121_722689	11797	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_74293	11585	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_1085345	10991	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1085389	10440	NA	18	0.0	yes	0	0	0	0	0	0	0	0
k121_576222	9794	NA	19	0.0	yes	0	0	0	0	0	0	0	0
k121_61096	9433	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1085350	8615	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_854401	7637	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_92320	7321	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_6505	5914	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_434600	5879	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1085334	5870	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_302062	5488	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_922633	5374	NA	2	-0.2	yes	0	0	0	0	0	0	0	0
k121_183724	5309	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_251973	5280	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_253552	5194	NA	5	-0.3	yes	0	0	0	0	0	0	0	0
k121_338582	5190	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1085468	5166	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_643013	5022	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_794559	4987	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1085440	4883	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_337509	4646	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_499112	4402	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1085319	4302	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1085351	4190	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1085436	4151	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1085338	4045	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_340952	3772	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1085358	3761	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1085434	3751	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_38402	3453	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1085447	3103	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_445925	3081	NA	4	1.7	no	0	0	0	0	0	0	0	1
k121_1085718	3067	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1085761	2951	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_460621	2816	NA	2	0.0	yes	0	0	1	0	0	0	0	0
k121_1085426	2802	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1061120	2765	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1085483	2737	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_471661	2725	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1085583	2617	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_26853	2607	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1085603	2596	NA	0	0.0	yes	0	0	0	0	0	0	0	0
