gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1716164_1	2	2116	2115	-1	0.653	11	None	GENOMAD.108687.PC	1.899e-53	205	0	1	0	1	NA	virb4	NA	PF19044;PF03135;PF05101;K03199;TIGR00929;COG3451	type IV secretion/conjugal transfer ATPase, VirB4 family
k121_508722_1	2	2032	2031	-1	0.679	11	None	GENOMAD.088358.PC	3.198e-17	89	0	1	0	1	NA	NA	NA	PF06986	Type-1V conjugative transfer system mating pair stabilisation
k121_572323_1	2	241	240	-1	0.512	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_572323_2	489	2900	2412	1	0.437	11	TAA	GENOMAD.115043.CP	1.438e-08	61	0	0	0	1	NA	NA	NA	PF12569;COG5107;TIGR02917;K09667	N-terminal acetyltransferase A, auxiliary subunit
k121_572323_3	3046	3636	591	1	0.411	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_572323_4	3730	5337	1608	1	0.444	11	TAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_572323_5	5624	5920	297	-1	0.545	11	TAAA	GENOMAD.167444.PC	6.43e-16	74	0	0	0	1	NA	NA	NA	PF07045;COG5470	Uncharacterized conserved protein, DUF1330 family
k121_572323_6	5927	6178	252	-1	0.488	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_572323_7	6258	6713	456	1	0.454	11	TAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_572323_8	6847	7416	570	-1	0.572	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_572323_9	7581	7862	282	1	0.546	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2034157_1	1	192	192	1	0.552	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2034157_2	194	583	390	1	0.579	11	GGA/GAG/AGG	GENOMAD.168706.CP	1.215e-30	118	0	0	0	1	NA	NA	NA	PF01796;COG1545;K07549	Uncharacterized OB-fold protein, contains Zn-ribbon domain
k121_2034157_3	580	1725	1146	1	0.568	11	AGGA	GENOMAD.152069.CP	1.273e-06	53	0	0	0	1	NA	NA	NA	PF00108;PF01796;PF02803;COG0183;TIGR02445;K00632	Acetyl-CoA acetyltransferase
k121_2034157_4	1727	2494	768	1	0.595	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2034157_5	2494	3237	744	1	0.523	11	GGA/GAG/AGG	GENOMAD.191303.CP	3.038e-84	279	0	0	0	1	NA	NA	NA	PF06283;K09992;COG5426	Type 1 glutamine amidotransferase (GATase1)-like domain
k121_2034157_6	3237	4388	1152	1	0.571	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1589309_1	3	350	348	1	0.477	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1589309_2	360	1739	1380	-1	0.524	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1589309_3	2005	2346	342	-1	0.465	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1589309_4	2346	2588	243	-1	0.449	11	GGAG/GAGG	GENOMAD.028568.PP	0.0002245	40	0	0	0	1	NA	NA	NA	NA	NA
k121_1589309_5	2683	3090	408	-1	0.539	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1589309_6	3209	5077	1869	1	0.542	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1271608_1	217	1314	1098	-1	0.634	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1271608_2	1363	2295	933	-1	0.646	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1271608_3	2295	3383	1089	-1	0.631	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1271608_4	3540	5072	1533	-1	0.680	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1271608_5	5069	6010	942	-1	0.715	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1271608_6	6121	8415	2295	-1	0.674	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_318172_1	1	321	321	1	0.530	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_318172_2	348	1133	786	1	0.565	11	4Base/6BMM	GENOMAD.046829.PP	9.057e-05	46	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
