gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_812482_1	2	559	558	1	0.624	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_812482_2	549	1202	654	1	0.599	11	GGAG/GAGG	GENOMAD.071636.PP	6.931e-31	123	0	1	0	1	NA	NA	NA	K03200;COG5314	Conjugal transfer/entry exclusion protein
k121_75017_1	689	1618	930	-1	0.385	11	None	GENOMAD.060735.PP	1.485e-05	49	0	1	0	1	NA	NA	NA	PF01446	NA
k121_887233_1	232	396	165	1	0.285	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_887233_2	446	1222	777	-1	0.302	11	AAAAAA	GENOMAD.015439.PP	3.096e-98	320	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_861966_1	396	1295	900	-1	0.498	11	AGGAG	GENOMAD.101048.PP	8.875e-28	117	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_861966_2	1414	1521	108	1	0.593	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_666375_1	859	1131	273	-1	0.509	11	AGxAGG/AGGxGG	GENOMAD.063978.PP	1.558e-11	61	0	1	0	1	NA	NA	NA	PF10723	Replication regulatory protein RepB
k121_739761_1	2	112	111	1	0.541	11	None	GENOMAD.116477.PC	3.509e-16	71	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_739761_2	122	376	255	1	0.545	11	GGAG/GAGG	GENOMAD.127310.PC	8.558e-30	113	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_739761_3	370	753	384	1	0.510	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_739761_4	684	1043	360	-1	0.611	11	None	GENOMAD.189737.PC	2.868e-08	53	0	0	0	1	NA	NA	NA	NA	NA
k121_739761_5	1040	1438	399	-1	0.617	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_739761_6	1517	1720	204	-1	0.525	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_51929_1	3	452	450	-1	0.538	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_51929_2	449	847	399	-1	0.529	11	GGAG/GAGG	GENOMAD.097854.PP	2.961e-22	94	0	1	0	1	NA	NA	NA	PF07328	T-DNA border endonuclease VirD1
k121_175530_1	3	764	762	-1	0.639	11	None	GENOMAD.140425.PV	1.924e-92	303	0	1	0	1	NA	MOBV	NA	PF01076	Plasmid recombination enzyme
k121_175530_2	1000	1293	294	-1	0.565	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_175530_3	1280	1582	303	-1	0.578	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_175530_4	1702	2430	729	-1	0.462	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_175530_5	2441	3217	777	-1	0.521	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_175530_6	3336	3722	387	-1	0.509	11	GGA/GAG/AGG	GENOMAD.162193.PV	3.815e-26	105	0	0	0	1	NA	NA	NA	PF04645;K11686;COG4220;TIGR02043	Phage DNA packaging protein, Nu1 subunit of terminase
k121_175530_7	3769	4785	1017	-1	0.557	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_175530_8	5023	5694	672	-1	0.613	11	None	GENOMAD.140425.PV	3.806e-14	74	0	1	0	1	NA	MOBV	NA	PF01076	Plasmid recombination enzyme
k121_470415_1	3	1085	1083	1	0.586	11	None	GENOMAD.130028.PC	7.807e-30	125	0	1	0	1	NA	T_virB6	NA	K03201;COG3704	Type IV secretory pathway, VirB6 components
k121_470415_2	1082	1840	759	1	0.563	11	AGGA	GENOMAD.109949.PC	6.542e-38	145	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_619623_1	2	595	594	-1	0.524	11	AGGAG	GENOMAD.101048.PP	1.41e-21	95	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_619623_2	714	1793	1080	1	0.586	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_619623_3	1968	2720	753	-1	0.489	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_619623_4	2717	4255	1539	-1	0.515	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_619623_5	4476	4739	264	-1	0.561	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_619623_6	4829	5572	744	1	0.500	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_521169_1	3	104	102	1	0.618	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_521169_2	182	484	303	1	0.528	11	GGAG/GAGG	GENOMAD.138269.PC	2.552e-18	81	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_521169_3	481	771	291	1	0.495	11	None	GENOMAD.142672.PC	1.14e-24	99	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_521169_4	784	1383	600	-1	0.573	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349471_1	2	259	258	-1	0.628	11	GGAG/GAGG	GENOMAD.079602.PP	5.186e-43	151	0	0	0	1	NA	NA	NA	NA	NA
k121_349471_2	262	1059	798	-1	0.620	11	GGA/GAG/AGG	GENOMAD.015421.PP	1.391e-119	382	0	1	0	1	NA	NA	NA	PF07996;K03200;TIGR02791;COG5314	P-type DNA transfer protein VirB5
k121_349471_3	1056	1283	228	-1	0.610	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_250730_1	2	625	624	-1	0.441	11	GGA/GAG/AGG	GENOMAD.138275.PV	5.002e-05	46	0	1	0	1	NA	NA	NA	PF07506;PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_250730_2	636	1415	780	-1	0.364	11	None	GENOMAD.046829.PP	0.0007877	43	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
k121_250730_3	1523	2116	594	1	0.399	11	None	GENOMAD.159857.CP	4.733e-10	61	0	0	0	1	NA	NA	NA	PF03825;K03305;TIGR00926;COG3104	Peptide:H+ symporter (also transports b-lactam antibiotics, the antitumor agent, bestatin, and various protease inhibitors)
