gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1816337_1	1	876	876	-1	0.711	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1816337_2	1050	1700	651	-1	0.734	11	GGA/GAG/AGG	GENOMAD.132519.CP	1.349e-06	51	0	0	0	1	NA	NA	NA	PF17783;TIGR03338;K15735;COG1802	phosphonate utilization associated transcriptional regulator
k121_1816337_3	1733	2419	687	-1	0.777	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1816337_4	2419	2529	111	-1	0.802	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2442163_1	240	1064	825	1	0.699	11	GGA/GAG/AGG	GENOMAD.138260.CP	1.238e-80	270	0	0	0	1	NA	NA	NA	PF13677;COG1360;K02557;TIGR03350	Flagellar motor protein MotB
k121_2442163_2	1097	2452	1356	1	0.678	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2442163_3	2475	3917	1443	1	0.736	11	AGGA	GENOMAD.136780.CP	1.066e-77	271	0	0	0	1	NA	NA	NA	PF00460;PF06429;COG1256;K02396;TIGR02492	Flagellar hook-associated protein FlgK
k121_2442163_4	3920	4930	1011	1	0.738	11	GGAG/GAGG	GENOMAD.194846.PC	3.419e-41	158	0	0	0	1	NA	NA	NA	PF00669;COG1344;TIGR02550;K02397	Flagellin and related hook-associated protein FlgL
k121_2442163_5	5009	6046	1038	1	0.709	11	None	GENOMAD.141339.CP	9.453e-80	271	0	0	0	1	NA	NA	NA	K02394;COG1706	Flagellar basal body P-ring protein FlgI
k121_2442163_6	6053	6814	762	-1	0.709	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2442163_7	6906	7769	864	-1	0.725	11	AGGAG	GENOMAD.158147.PC	2.801e-30	124	0	0	0	1	NA	NA	NA	PF00582;COG0589;K14055	Nucleotide-binding universal stress protein,  UspA family
k121_2442163_8	7978	9579	1602	1	0.639	11	GGAG/GAGG	GENOMAD.136783.CP	1.634e-12	73	0	0	0	1	NA	NA	NA	COG0843;K02274	Heme/copper-type cytochrome/quinol oxidase, subunit 1
k121_2442163_9	9592	10317	726	1	0.654	11	AGGAG	GENOMAD.162036.CP	9.673e-08	55	0	0	0	1	NA	NA	NA	PF02433;K00405;TIGR00781;COG2993	cytochrome c oxidase, cbb3-type, subunit II
k121_2442163_10	10328	10558	231	1	0.706	11	GGAG/GAGG	GENOMAD.170472.PC	1.674e-12	63	0	0	0	1	NA	NA	NA	PF05545;COG4736;K00407	Cbb3-type cytochrome oxidase, subunit 3
k121_2442163_11	10555	10626	72	1	0.736	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_626806_1	2	388	387	-1	0.721	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_626806_2	484	975	492	-1	0.713	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_626806_3	1302	2408	1107	-1	0.683	11	GGA/GAG/AGG	GENOMAD.095309.PP	9.293e-35	140	0	0	0	1	NA	NA	NA	PF03349;K06076;COG2067	Outer membrane protein transport protein (OMPP1/FadL/TodX)
k121_626806_4	2555	3865	1311	1	0.696	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_626806_5	3871	4143	273	1	0.813	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752398_1	1	984	984	1	0.575	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752398_2	1230	1661	432	1	0.539	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752398_3	1743	2054	312	1	0.599	11	AGGA	GENOMAD.194575.CP	0.000234	41	0	0	0	1	NA	NA	NA	PF19029;COG4575;K05594	Membrane-anchored ribosome-binding protein, inhibits growth in stationary phase, ElaB/YqjD/DUF883 family
k121_752398_4	2051	2440	390	1	0.574	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752398_5	2526	3149	624	1	0.583	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1065441_1	2	982	981	-1	0.626	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1065441_2	1098	1952	855	-1	0.656	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1065441_3	1949	3415	1467	-1	0.678	11	AGxAGG/AGGxGG	GENOMAD.014419.PP	6.588e-05	48	0	0	0	1	NA	NA	NA	NA	NA
k121_1065441_4	3698	4567	870	-1	0.633	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1691716_1	1	699	699	1	0.545	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1691716_2	775	1653	879	1	0.573	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1691716_3	1595	2734	1140	1	0.587	11	GGA/GAG/AGG	GENOMAD.126037.CP	5.401e-30	126	0	0	0	1	NA	NA	NA	PF12890;K01443;TIGR00221;COG1820	N-acetylglucosamine-6-phosphate deacetylase
k121_1691716_4	2700	3656	957	-1	0.561	11	GGA/GAG/AGG	GENOMAD.147688.PC	3.366e-11	67	0	0	0	1	NA	NA	NA	PF04267;PF01965;COG4311;K00304;TIGR01374	Sarcosine oxidase delta subunit
k121_1691716_5	3734	4894	1161	1	0.562	11	GGAG/GAGG	GENOMAD.153741.PC	2.246e-05	49	0	0	0	1	NA	NA	NA	PF08028;PF02771;K20942;COG1960;TIGR04022	Acyl-CoA dehydrogenase related to the alkylation response protein AidB
k121_1691716_6	4896	5909	1014	1	0.596	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2317707_1	2	91	90	1	0.533	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2317707_2	122	292	171	1	0.485	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2317707_3	440	1984	1545	1	0.553	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2317707_4	1999	2724	726	1	0.561	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_690140_1	29	997	969	-1	0.591	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_690140_2	1199	2212	1014	1	0.579	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_690140_3	2254	2394	141	1	0.539	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_690140_4	2502	3503	1002	1	0.586	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_690140_5	3669	3890	222	-1	0.581	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_502628_1	1	5130	5130	1	0.630	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_502628_2	5179	5400	222	1	0.685	11	GGAG/GAGG	GENOMAD.166708.PC	4.628e-09	53	0	0	0	1	NA	NA	NA	PF19807;TIGR04563;COG4877;K07722	MXAN_4361/MXAN_4362 family small protein
k121_502628_3	5397	5741	345	1	0.696	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_502628_4	5743	5874	132	1	0.765	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_440402_1	2	2035	2034	-1	0.760	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_440402_2	2204	3283	1080	-1	0.755	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_440402_3	3273	3605	333	-1	0.787	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_440402_4	3853	4767	915	1	0.674	11	AGGAG	GENOMAD.194214.CP	4.575e-19	91	0	0	0	1	NA	NA	NA	K04334	NA
k121_440402_5	4911	5288	378	1	0.706	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_440402_6	5285	5416	132	1	0.780	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1316590_1	2	163	162	-1	0.605	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1316590_2	197	526	330	-1	0.591	11	GGxGG	GENOMAD.167191.PC	7.565e-19	83	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385;K19093	Plasmid stabilization system protein ParE
k121_1316590_3	523	783	261	-1	0.628	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_189841_1	1	525	525	1	0.712	11	None	GENOMAD.176723.CP	4.896e-95	306	0	0	0	1	NA	NA	NA	PF00148;K11334;TIGR02015;COG2710	chlorophyllide reductase subunit Y
k121_189841_2	629	2107	1479	1	0.694	11	GGA/GAG/AGG	GENOMAD.140566.CP	1.8e-18	92	0	0	0	1	NA	NA	NA	PF00148;PF08369;K04039;TIGR01278;COG2710	light-independent protochlorophyllide reductase, B subunit
