ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_744377	334279	NA	401	0.0	yes	0	0	0	0	0	0	0	0
k121_873833	122379	NA	124	0.0	yes	0	0	0	0	0	0	0	0
k121_459526	115806	NA	169	0.0	yes	0	0	0	0	0	0	0	0
k121_705077	109005	NA	109	0.0	no	0	0	1	0	8	0	0	0
k121_1999429	85785	NA	129	0.0	yes	0	0	0	0	0	0	0	0
k121_1157755	81207	NA	81	0.0	yes	0	0	0	0	0	0	0	0
k121_1280257	65462	NA	88	0.0	yes	0	0	0	0	0	0	0	0
k121_1999434	61898	NA	70	0.0	yes	0	0	0	0	0	0	0	0
k121_1181314	43911	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_1066107	39856	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_801077	38956	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_336922	38215	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_1204766	36667	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_1054636	36650	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_1999593	35992	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_1999696	35432	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_58363	35280	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_200284	34532	NA	36	0.0	yes	0	0	0	0	0	0	0	0
k121_1999523	34397	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_521347	34266	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_1053406	34203	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_1999654	33067	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_1305919	30329	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_1999445	28515	NA	35	0.0	yes	0	0	0	0	0	0	0	0
k121_2001263	25942	NA	27	0.0	yes	0	0	0	0	0	0	0	0
k121_1867183	19794	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_1999461	17915	NA	24	0.0	yes	0	0	0	0	0	0	0	0
